tags,gloss,type,subcategories
"tool
INSTRUMENT",act on by tool,final,"TI1a, TA"
"act (on self)
MANNER
REFLEXIVE",act on self by hand,final,AI
"mind
MANNER",act with mind,final,
"burn
heat
MANNER",action by heating or burning,final,"TA, TI1, AI, II"
"tool
INSTRUMENT",action by tool,final,TA
"manipulation
tool
INSTRUMENT",action by tool or manipulation,final,
"mind
MANNER",action of the mind,final,
"body
foot
MANNER",action with feet or body,final,"AI, II, TA, TI"
"tool
INSTRUMENT",action with tool,final,TA
"liquid
MANNER",be (by liquid),final,"II, AI"
"boat
MANNER","boat, by",final,AI
"body
MANNER","body, by",final,"AI, TA, TI"
"arm
pull
MANNER","by arm, pull",final,TI
"axe
INSTRUMENT",by axe,final,"TA, TI"
"blade
INSTRUMENT",by blade,final,"TA, TI"
"club
INSTRUMENT",by club,final,
"cold
MANNER",by cold,final,"AI, II, TA, TI"
"cold
frost
MANNER","par le froid, le gel",final,"AI, II"
"cutting edge
INSTRUMENT",by cutting edge,final,"TA, TI"
"foot
MANNER",(action) by foot,final,
"foot
MANNER",by foot,final,"AI, II, TI"
"body
foot
MANNER",by foot (or body),final,"TA, TI"
"movement (body, foot)
MANNER",by foot or body movement,final,"intr, AI, II, TA, TI"
"body
foot
MANNER",by foot/body,final,"AI, II, TA, TI"
"hand
MANNER",by hand,final,"AI, II, TA, TI"
"heat
MANNER",(agent) by heat,final,AI
"heat
MANNER",by heat,final,"intr, AI, II, TA, TI"
"burning
heat
MANNER","par la chaleur, en brûlant",final,"AI, II"
"burning
heat
sun
MANNER","by heat, by burning, by sun",final,II
"cutting edge
heat
INSTRUMENT
MANNER","by heat, by cutting edge",final,"TI, TA"
"heat
sun
MANNER","by heat, by sun",final,"AI, TA, TI, II"
INSTRUMENT,(agent) by instrument,final,AI
INSTRUMENT,by instrument,final,"AI, II, TA, TI"
"medium
INSTRUMENT
MANNER",by instrument or medium,final,TI
"knife
INSTRUMENT",by knife,final,"TA, TI"
"medium
MANNER",by medium,final,"TA, TI"
"mind
MANNER",by mind,final,TI
"mouth
MANNER",by mouth,final,"TRANS, AI, II, TA, TI"
"mouth
speech
MANNER","by mouth, by speech",final,"TA, TI"
"mouth
speech
thought
MANNER","by mouth, by speech (by thought)",final,TA
"bite
eat
mouth
MANNER","by mouth, eat, bite",final,"TA, TI"
"movement
MANNER",by movement,final,AI
"shot
MANNER",by shot,final,"TA, TI"
"stick
INSTRUMENT",by stick,final,"TA, TI"
"heat (of sun)
MANNER",by the heat of the sun,final,"AI, II"
"tool
INSTRUMENT",by tool,final,"TA, TI, TI1"
"instrument
tool
INSTRUMENT","by tool, by instrument",final,"TA, TI"
"wind (N)
MANNER",by wind,final,"AI, TI, II"
"cut
INSTRUMENT","cut, by knife",final,"AI, TA, TI"
"blade
INSTRUMENT",do by blade,final,"AI, TI"
"body
foot
MANNER",do by foot or body movement,final,"TI, TA"
"hand
MANNER",do by hand,final,"TA, TI"
"head
MANNER",do by head action,final,TA
"medium (external)
tool
INSTRUMENT
MANNER","do by tool, external medium",final,"TA, TI"
"hand
MANNER",do with hand,final,
"fling
foot
MANNER",fling by foot,final,"TA, TI"
"hand
motion
MANNER","hand motion, hand as instrument",final,"AI, TA"
"hand
MANNER","hand, by",final,"TA, TI"
"club
hand
paddle
tool
INSTRUMENT
MANNER","him by tool or by something held in the hand, him with the hand used as a club or paddle",final,TA
"hit
INSTRUMENT",hit s.o. by tool,final,TA
"implement
INSTRUMENT",implement for,final,N
"instantly
tool
INSTRUMENT",instantly do to s.o. by tool,final,TA
INSTRUMENT,instrument,final,"N, AI, TA"
INSTRUMENT,"instrument, by",final,"AI, TA, TI"
"speech
MANNER","speech, by",final,TA
"strike
INSTRUMENT",strike with an instrument,final,"TA, TI"
"movement
MANNER",par le mouvement,final,V
"throw
INSTRUMENT",throw by instrument,final,"TA, TI"
"blow (N)
INSTRUMENT",avec un coup ou avec un instrument,final,"AI, TA"
"blow (N)
INSTRUMENT","avec un coup, avec un instrument",final,TI
"stick
INSTRUMENT",with a stick,final,
"axe
INSTRUMENT",with an axe,final,"TA, TI"
INSTRUMENT,avec un instrument,final,TA
"axe
INSTRUMENT",with ax,final,TA
INSTRUMENT,with instrument,final,"TA, TI"
INSTRUMENT,…-er (instrumental),final,"NA, NI"
INSTRUMENT,instrumental,final,N
"cut
INSTRUMENT",cut (instrumental final),final,TA
INTRANSITIVE,intransitive,final,AI
"INVERSE
PASSIVE",inverse; passive,final,
INVERSE,inverse action,final,
TRANSITIVE,joint transitive action,final,TA
"body part
LOCATIVE
MANNER",on or by body part,final,AI
LOCATIVE,locative,final,
INSTRUMENT,forms mainly nouns which denote instruments,final,N
"run
vehicle (wheeled)
INSTRUMENT
MANNER","en courant, en véhicule à roues",final,AI
"hand
place (V)
set (V)
MANNER","set, place by hand",final,"TA, TI"
"hear
hearing
MANNER","hear, by hearing",final,"TA, TI"
"see
vision
MANNER","see, by vision",final,"TA, TI"
"go (by foot)
MANNER","by foot, go",final,
"float
water
MANNER","water - by, float",final,"AI, II"
"eye
MANNER",by eye,final,TI
"eye
vision
MANNER","by eye, by vision",final,"TA, V"
"hearing
MANNER",by hearing,final,"AI, II, TA, TI"
"place (foot)
MANNER",en posant les pieds de telle fac̹on,final,
"portage
MANNER",en faisant du portage,final,AI
"pull
MANNER",by pulling,final,TA
"pull
MANNER",by pulling action,final,"TA, TI"
"sight
MANNER",by sight,final,"AI, II, TA, TI"
"perception
sight
MANNER","by sight, perception",final,"TA, TI"
"smell
MANNER",by smell,final,"AI, II, TA, TI"
"speak
voice
MANNER","en parlant, avec la voix",final,
"speech
MANNER",(agent) by speech,final,AI
"speech
MANNER",by speech,final,"TA, TI"
"mouth
speech
MANNER","by speech, by mouth",final,AI
"speech
thought
MANNER","by speech, by thought",final,"TA, TI"
"perception
speech
MANNER",by speech or perception,final,"TA, TI"
"accompany
mouth
move
speech
MANNER",by speech; accompany; move; by mouth,final,TA
"speech
MANNER",by speech?,final,TA
"taste
MANNER",by taste,final,"AI, II, TA, TI"
"thought
MANNER",by thought,final,"AI, II, TA, TI"
"speech
thought
MANNER","by thought, by speech",final,"AI, II, TI"
"travel
MANNER",en voyageant,final,AI
"action (verbal)
speech
MANNER","by verbal action, by speech act",final,
"vision
MANNER",by vision,final,"TA, TI"
"walk
MANNER",by walking,final,"TI, TA, AI"
"cold
MANNER","cold, by",final,"AI, II"
"ear
MANNER",do by ear,final,"TI, TA"
"facial activity
MANNER",do by means of facial activity,final,TA
"action (mental)
MANNER",do by mental action,final,TI
"mouth
speech
MANNER","do by mouth, by speech",final,TI
"mouth
speech
MANNER","do by mouth, speech",final,TI
"sight
MANNER",do by sight,final,TA
"speech
MANNER",do by speech,final,TA
"mouth
speech
MANNER","do by speech; by mouth, by speech (by thought)",final,TA
"action (bodily)
MANNER",do by undefined bodily action,final,TA
"undefined means
MANNER",do by undefined means,final,"TA, TI"
"bit by bit
MANNER",do something bit by bit as oppoosed to doing it in one continuous motion,final,"TA, TI"
"mouth
MANNER",do with mouth,final,
"heat
MANNER","heat, by",final,"AI, II, TA, TI"
"cold
MANNER",him by cold,final,TA
"hand
hold
take
MANNER","him by hand, take or hold him",final,TA
"cook (V)
fire
heat
intoxicated
MANNER",him by heat or fire; cook him; get him intoxicated,final,TA
"eat
mouth
MANNER",him by mouth; eat him,final,TA
"tooth
MANNER",him by tooth,final,TA
"speak
voice
MANNER",him by voice; speak to him,final,TA
"cold
MANNER",it by cold,final,TI
"hand
hold
take
MANNER","it by hand, take or hold it",final,TI
"cook
fire
heat
MANNER","it by heat or fire, cook it",final,TI
"drink
eat
mouth
MANNER","it by mouth; eat it, drink it",final,TI
"tooth
MANNER",it by tooth,final,TI
"speak to
voice
MANNER","it by voice, speak to it",final,TI
"speak to
voice
MANNER",it by voice; speak to it,final,TI
"mind
MANNER","mind, by",final,"AI, TA,TI"
"mouth
MANNER","mouth, by",final,"TA, TI"
"body
foot
move
MANNER",move by body or foot,final,
"body
foot
moved
MANNER",moved by body or foot,final,
"hand
paw
MANNER","réfère à une action effectuée à l'aide des mains ou, par extension, à l'aide des pattes pour les animaux dans des verbs de mouvement libre",final,
"talk
MANNER",talk in manner of,final,AI
"think
thought
MANNER","thinking, by thought",final,
"body
foot
throw
MANNER",throw by foot or body movement,final,"TA, TI"
"hand
throw
MANNER",throw by hand,final,"TA, TI"
"hand
push
throw
MANNER","throw by hand, push",final,"TA, TI"
"foot
walk
MANNER","walk, by foot",final,AI
"motion (back and forth)
MANNER",with back and forth motion,final,
"foot
MANNER",with feet,final,TI
"fire
MANNER",with fire,final,"TA, TI"
"mouth
MANNER",avec la bouche,final,
"mouth
MANNER",with mouth,final,
"water
MANNER",with or by water,final,"AI, TI"
"substance (sticky)
MANNER",with sticky substance,final,AI+O
"body, foot
MANNER","avec le corps, les pieds, à pied",final,
"body, foot
MANNER","avec le corps, les pieds",final,
"foot
MANNER",avec les pieds,final,TI
"foot
MANNER",with the feet,final,TI
"wave (N)
MANNER",avec/par la vague,final,"AI, II"
"wind (N)
MANNER",avec/par le vent,final,"AI, II"
MIDDLE,medio passive,final,AI
MIDDLE,medio-passive,final,
MIDDLE,derives medio-passive verbs,final,AI
"MIDDLE
REFLEXIVE",medio-reflexive,final,
"talk
MIDDLE","middle, talk",final,AI
"tie
MIDDLE","middle, tie",final,AI
"do
MIDDLE",middle; do an action,final,AI
"eat
MIDDLE
REFLEXIVE",eat; middle reflexive,final,AI
"hand
MANNER
MIDDLE
REFLEXIVE","middle reflexive, by hand",final,AI
"MIDDLE
REFLEXIVE
VERB OF UNDERGOING",middle reflexive; verb of undergoing,final,"AI, II"
"emit (light)
MIDDLE
REFLEXIVE","emit light, middle reflexive",final,"AI, II"
"MIDDLE
REFLEXIVE",middle refl.,final,"AI, II"
"MIDDLE
REFLEXIVE",middle reflexive,final,"AI, II, TI"
"crawl
drag (self)
MIDDLE
REFLEXIVE","middle reflexive; crawl, drag oneself",final,AI
"purposeful
MIDDLE
REFLEXIVE","of purposeful action, middle reflexive",final,"AI, II"
"movement (quick)
MIDDLE
REFLEXIVE","quick movement, middle reflexive",final,"II, AI"
"condition
essence
shape
state
MIDDLE
REFLEXIVE","state, shape, condition, or essence, middle reflexive",final,"AI, II"
"squall
storm
MIDDLE
REFLEXIVE","storm, squall, middle reflexive",final,II
"think
MIDDLE
REFLEXIVE",think; middle reflexive,final,AI
"dryness
MIDDLE
REFLEXIVE","to dryness, middle reflexive",final,"AI, II"
"movement
INCHOATIVE
MIDDLE","middle voice, inchoative, movement",final,II
"MIDDLE
REFLEXIVE","middle voice, reflexive",final,
MIDDLE,middle voice,final,"AI, II"
NEGATIVE,équivalent négatif de -kaa,final,
liquid,"liquid, nominals",final,
NOMINALIZER,nominal,final,N
NOMINALIZER,nominalizer,final,"N, NI"
ANTIPASSIVE,non-specific object,final,AI
NOMINALIZER,singular animate noun final,final,NA
"ACTION
INSTRUMENT
NOMINALIZER
PRODUCT","forms nouns denoting action, instrument, produced, etc.",final,N
"NOMINALIZER
OBJECT",forms nouns that denote the goal of the action,final,N
"PASSIVE
REFLEXIVE",passive reflexive,final,"II, AI"
PASSIVE,be …-ed (passive),final,"AI, II"
PASSIVE,passive,final,"AI, II"
"PASSIVE
MIDDLE","be …-ed (passive); one's own, to or for oneself (middle)",final,AI
PASSIVE,passivizer,final,"II, AI"
"NOMINALIZER
PATIENT",patientive nominal,final,"AI, TI"
PEJORATIVE,pejorative,final,"N, AI"
"PASSIVE
PERFECTIVE",perfective passive,final,"AI, II"
PROCESS,forme les verbes de processus,final,
TI-O,pseudo-intransitive,final,TI-O
AI+O,pseudo-transitive with animate objects,final,AI+O
AI+O,pseudotransitive with inan. objects,final,AI+O
"numeral
QUANTITY",analogical numeral,final,
"old
year
QUANTITY
RELATIVE",be so many years old,final,AI
"for (so many)
QUANTITY
RELATIVE",for so many,final,PART
"for (so many days)
QUANTITY
RELATIVE",for so many days,final,PART
"for (so many days)
QUANTITY
RELATIVE",for X days,final,
"bear (child)
give (birth)
QUANTITY
RELATIVE","give birth so many times, bear so many children",final,AI
"place (N)
way
QUANTITY
RELATIVE",in (so many) ways or places,final,PART
"particle
place (N)
way
QUANTITY
RELATIVE","in so many ways or places, particles",final,
QUANTITY,grande quantité de quelque chose,final,
"ordered
QUANTITY",ordered quantities,final,
"ten
QUANTITY",x 10 quantifier,final,
"dollar
peso
QUANTITY
RELATIVE",X dollars/pesos,final,
"group
QUANTITY
RELATIVE",X groups,final,
"hundred
QUANTITY
RELATIVE",X hundred,final,
"times
QUANTITY
RELATIVE",X times,final,
"ten (multiple)
QUANTITY",Xty,final,
"X, for X","X, for X",final,
RESULT,recent resultative,final,II
"RECIPROCAL
REFLEXIVE",reciprocal and reflexive,final,AI
RECIPROCAL,be Xs to one another,final,AI
RECIPROCAL,one another (reciprocal),final,AI
RECIPROCAL,reciprocal,final,"TA, AI"
RECIPROCAL,reciprocal action,final,"intr, AI"
"MIDDLE
REFLEXIVE","reflexive, middle voice",final,"AI, II"
"oneself
REFLEXIVE
PASSIVE","oneself, to or for oneself (reflexive); be …-ed (passive)",final,"AI, II"
"RECIPROCAL
REFLEXIVE",reflexive reciprocal,final,AI
"RECIPROCAL
REFLEXIVE",reflexive/reciprocal,final,AI
"drag
REFLEXIVE",en se traînant (reflexif),final,AI
REFLEXIVE,reflexive,final,"intr, AI, II, TA, TI"
REFLEXIVE,reflexive of useful action,final,
REFLEXIVE,reflexive undergoing,final,AI
REFLEXIVE,"reflexive, subject to act",final,"TA, TI"
RELATIVE,REL,final,TA
RELATIONAL,relational,final,TA
"consider
regard
think
RELATIVE","regard s.o. as, consider s.o. as; think so of s.o.",final,TA
"feel
RELATIVE",feel in such a way,final,"TA, AI"
"feel
RELATIVE",feel so,final,AI
"mind
think
RELATIVE",him by mind; think so about him,final,TA
"state (N)
way
RELATIVE","in such a way or state, …-ly, while being so",final,PREV
"mind
think about
RELATIVE",it by mind; think so about it,final,TI
"regard
RELATIVE",regard s.t. so,final,TI
"stand
RELATIVE",stand; stand there (rel.),final,AI
OBVIATIVE,removed obviative,final,TA
"configuration
movement
RESULT",to be in a configuration as a result of movement,final,unknown
RESULT,resultative,final,"II, AI"
BENEFACTIVE,self-benefactive,final,AI
"habit
dependency
ACTION
STATE","habitude, dépendance, indiquant un état ou une action",final,
STATE,stative,final,"V, AI, II"
STATE,"stative, descriptive",final,AI
STATE,stative/descriptive,final,II
TA,TA,final,TA
TI,TI,final,TI
TI-O,TI-O,final,
TRANSITIVE,transitivizer,final,TA
TRANSITIVE,transitivizing,final,TRANS
TRANSITIVE,transitivizing particle,final,
DITRANSITIVE,two goal,final,"TA, TI"
"act
do
DITRANSITIVE","two goal (do, act)",final,TA
"do
DITRANSITIVE",two goal (do),final,TA
"carry
lead (V)
DITRANSITIVE",two goal (lead carry),final,TA
DITRANSITIVE,two goal final,final,TA
PATIENT,undergoer,final,N
ANTIPASSIVE,unspecified object,final,AI
ANTIPASSIVE,"unspecified objects, unspecified persons",final,AI
ANTIPASSIVE,unspecified persons,final,AI
ANTIPASSIVE,derives verbs of action on a general goal,final,TA
VERB OF ADDICTION,verb of addiction,final,AI
VERB OF BEING,verb of being,final,
VERB OF BEING,verb of being,final,"AI, II"
DIMINUTIVE,verb of diminutive action,final,
POSSESS,verb of having,final,AI
MAKE,verb of making,final,
POSSESS,verb of possession,final,AI
"MIDDLE
REFLEXIVE
VERB OF UNDERGOING",verb of undergoing; middle reflexive,final,"AI, II"
VERB OF UNDERGOING,verb of undergoing,final,"AI, II"
VERBALIZER,verbalizer,final,
"many
QUANTITY
RELATIVE",so many,final,PART
"many (dollar, peso)
QUANTITY
RELATIVE",so many dollars or pesos,final,PART
"many
QUANTITY
RELATIVE",so many in number,final,AI
"times (many)
QUANTITY
RELATIVE",(so many) times,final,PART
"times (many)
QUANTITY
RELATIVE",so many times,final,PART
"particles (many)
times (many)
QUANTITY
RELATIVE","so many times, particles",final,
causer (non-sentient),denotes non-sentient causer,final,
personifier,personifier,final,NA
related to root /n/,related to √n/,final,N
"substitute
surrogate",denotes a substitute or surrogate or the denotatum of the underlying stem,final,N
NG,verb final,final,TI
"fall
jump
lunge
move (of vehicle)
plunge
run (of vehicle)","jump, lunge, fall, plunge (of a vehicle, move, run)",final,"AI, II"
"eat
strike","eat, strike",final,TI
"act (like)
pretend","act like, pretend to be",final,AI
"be (there)
occupy
reside
sit","sit, be (there), occupy, reside",final,AI
"be (at)
sit","sit, be at",final,AI
"lie (position)
recline
location
step","lie, recline; be in an X position/location; step",final,AI
"lie (position)
location
recline","lie, recline; be in an X position/location",final,II
"lie (position)
location
recline","lie, recline; lie or recline there (rel.); be; be in such a position or location",final,II
"time
written","written, be of a certain time",final,II
"appear
be thought of
look like
seem","seem, be thought of",final,"AI, II"
"bear (child)
birth","bear child, birth",final,AI
